Ludovic Giuly	Ludovic_Giuly
Luis Arconada	Luis_Arconada
Luis Díaz	Luis_Díaz
Luis Enrique	Luis_Enrique
Luis Fernández	Luis_Fernández
Luis García	Luis_García
Luis Suárez	Luis_Suárez
Luis del Sol	Luis_del_Sol
Luka Modrić	Luka_Modrić
Lukas Podolski	Lukas_Podolski
Luís Fabiano	Luís_Fabiano
Luís Figo	Luís_Figo
László Kubala	László_Kubala
Lúcio	Lúcio
Mahamadou Diarra	Mahamadou_Diarra
Maicon	Maicon
Manfred Kaiser	Manfred_Kaiser
Manfred Kaltz	Manfred_Kaltz
Maniche	Maniche
Manuel Amoros	Manuel_Amoros
Manuel Bento	Manuel_Bento
Manuel Neuer	Manuel_Neuer
Manuel Velázquez	Manuel_Velázquez
Marc Overmars	Marc_Overmars
Marc-André ter Stegen	Marc-André_ter_Stegen
Marcel Desailly	Marcel_Desailly
Marcel Răducanu	Marcel_Răducanu
Marcelino Campanal	Marcelino_Campanal
Marcelo	Marcelo
Marcelo Salas	Marcelo_Salas
Marco Tardelli	Marco_Tardelli
Marco van Basten	Marco_van_Basten
Marcos Senna	Marcos_Senna
Mario Balotelli	Mario_Balotelli
Mario Basler	Mario_Basler
Mario Corso	Mario_Corso
Mario Götze	Mario_Götze
Mario Mandžukić	Mario_Mandžukić
Marius Trésor	Marius_Trésor
Marián Masný	Marián_Masný
Mark Hateley	Mark_Hateley
Mark Hughes	Mark_Hughes
Marquinhos	Marquinhos
Martin Chivers	Martin_Chivers
Martin Dahlin	Martin_Dahlin
Martin Peters	Martin_Peters
Martin Ødegaard	Martin_Ødegaard
Mason Mount	Mason_Mount
Mats Hummels	Mats_Hummels
Matthias Sammer	Matthias_Sammer
Matthijs de Ligt	Matthijs_de_Ligt
Max Morlock	Max_Morlock
Maxime Bossis	Maxime_Bossis
Mesut Özil	Mesut_Özil
Metin Oktay	Metin_Oktay
Michael Ballack	Michael_Ballack
Michael Essien	Michael_Essien
Michael Laudrup	Michael_Laudrup
Michael Olise	Michael_Olise
Michael Owen	Michael_Owen
Michel Platini	Michel_Platini
Michel Preud'homme	Michel_Preud'homme
Miguel Montuori	Miguel_Montuori
Mike Maignan	Mike_Maignan
Mikheil Meskhi	Mikheil_Meskhi
Milan Baroš	Milan_Baroš
Milan Galić	Milan_Galić
Miloš Milutinović	Miloš_Milutinović
Mimis Domazos	Mimis_Domazos
Miodrag Belodedici	Miodrag_Belodedici
Miroslav Klose	Miroslav_Klose
Mirsad Fazlagić	Mirsad_Fazlagić
Mohamed Salah	Mohamed_Salah
Morten Olsen	Morten_Olsen
Murtaz Khurtsilava	Murtaz_Khurtsilava
Mário Coluna	Mário_Coluna
Mário Jardel	Mário_Jardel
Míchel	Míchel
N'Golo Kanté	N'Golo_Kanté
Nani	Nani
Nemanja Vidić	Nemanja_Vidić
Neville Southall	Neville_Southall
Neymar	Neymar
Nico Williams	Nico_Williams
Nicolò Barella	Nicolò_Barella
Nihat Kahveci	Nihat_Kahveci
Nikola Kotkov	Nikola_Kotkov
Nikos Machlas	Nikos_Machlas
Nils Liedholm	Nils_Liedholm
Norbert Eschmann	Norbert_Eschmann
Norman Whiteside	Norman_Whiteside
Nuno Mendes	Nuno_Mendes
Nwankwo Kanu	Nwankwo_Kanu
Néstor Combin	Néstor_Combin
Olaf Thon	Olaf_Thon
Ole Madsen	Ole_Madsen
Oleg Blokhin	Oleg_Blokhin
Oleh Kuznetsov	Oleh_Kuznetsov
Oleh Protasov	Oleh_Protasov
Oleksandr Zavarov	Oleksandr_Zavarov
Oleksiy Mykhaylychenko	Oleksiy_Mykhaylychenko
Oliver Bierhoff	Oliver_Bierhoff
Oliver Kahn	Oliver_Kahn
Omar Sívori	Omar_Sívori
Orvar Bergmark	Orvar_Bergmark
Otto Konrad	Otto_Konrad
Ousmane Dembélé	Ousmane_Dembélé
Ove Kindvall	Ove_Kindvall
Packie Bonner	Packie_Bonner
Paco Gento	Paco_Gento
Paolo Maldini	Paolo_Maldini
Paolo Rossi	Paolo_Rossi
Papa Bouba Diop	Papa_Bouba_Diop
Pat Jennings	Pat_Jennings
Patrick Kluivert	Patrick_Kluivert
Patrick Vieira	Patrick_Vieira
Patrik Berger	Patrik_Berger
Paul Breitner	Paul_Breitner
Paul Gascoigne	Paul_Gascoigne
Paul McGrath	Paul_McGrath
Paul McStay	Paul_McStay
Paul Pogba	Paul_Pogba
Paul Scholes	Paul_Scholes
Paul Van Himst	Paul_Van_Himst
Pauleta	Pauleta
Paulo Dybala	Paulo_Dybala
Paulo Futre	Paulo_Futre
Paulo Sousa	Paulo_Sousa
Pavel Nedvěd	Pavel_Nedvěd
Pavlo Yakovenko	Pavlo_Yakovenko
Pedri	Pedri
Pedro de Felipe	Pedro_de_Felipe
Pep Guardiola	Pep_Guardiola
Pepe	Pepe
Pepillo	Pepillo
Petar Zhekov	Petar_Zhekov
Peter Beardsley	Peter_Beardsley
Peter Lorimer	Peter_Lorimer
Peter Reid	Peter_Reid
Peter Schmeichel	Peter_Schmeichel
Peter Shilton	Peter_Shilton
Petr Čech	Petr_Čech
Phil Foden	Phil_Foden
Philipp Lahm	Philipp_Lahm
Philippe Albert	Philippe_Albert
Philippe Coutinho	Philippe_Coutinho
Philippe Gondet	Philippe_Gondet
Pierino Prati	Pierino_Prati
Pierre Bernard	Pierre_Bernard
Pierre Littbarski	Pierre_Littbarski
